FirstName                                          LastName                                           JobTitle                                           AverageRate           MaximumRate
Russell                                            King                                               Production Technician - WC30                       17.7588               125.50
Russell                                            King                                               Production Technician - WC30                       17.7588               125.50
Russell                                            King                                               Production Technician - WC30                       17.7588               125.50
Christian                                          Kleinerman                                         Maintenance Supervisor                             17.7588               125.50
Reed                                               Koch                                               Production Technician - WC30                       17.7588               125.50
Reed                                               Koch                                               Production Technician - WC30                       17.7588               125.50
Reed                                               Koch                                               Production Technician - WC30                       17.7588               125.50
Kirk                                               Koenigsbauer                                       Production Technician - WC45                       17.7588               125.50
Eugene                                             Kogan                                              Production Technician - WC60                       17.7588               125.50
Paul                                               Komosinski                                         Production Technician - WC40                       17.7588               125.50
James                                              Kramer                                             Production Technician - WC60                       17.7588               125.50
Mindaugas                                          Krapauskas                                         Production Technician - WC50                       17.7588               125.50
Peter                                              Krebs                                              Production Control Manager                         17.7588               125.50
Vamsi                                              Kuppa                                              Shipping and Receiving Clerk                       17.7588               125.50
Eric                                               Kurjan                                             Buyer                                              17.7588               125.50
Brian                                              LaMee                                              Scheduling Assistant                               17.7588               125.50
Rebecca                                            Laszlo                                             Production Technician - WC60                       17.7588               125.50
David                                              Lawrence                                           Production Technician - WC30                       17.7588               125.50
David                                              Lawrence                                           Production Technician - WC30                       17.7588               125.50
David                                              Lawrence                                           Production Technician - WC30                       17.7588               125.50
Frank                                              Lee                                                Production Technician - WC40                       17.7588               125.50
Kitti                                              Lertpiriyasuwat                                    Production Technician - WC50                       17.7588               125.50
George                                             Li                                                 Production Technician - WC30                       17.7588               125.50
George                                             Li                                                 Production Technician - WC30                       17.7588               125.50
George                                             Li                                                 Production Technician - WC30                       17.7588               125.50
Yuhong                                             Li                                                 Production Supervisor - WC20                       17.7588               125.50
David                                              Liu                                                Accounts Manager                                   17.7588               125.50
Jinghao                                            Liu                                                Production Supervisor - WC50                       17.7588               125.50
Kevin                                              Liu                                                Production Technician - WC40                       17.7588               125.50
Brian                                              Lloyd                                              Production Technician - WC40                       17.7588               125.50
Kok-Ho                                             Loh                                                Production Supervisor - WC50                       17.7588               125.50
Jose                                               Lugo                                               Production Technician - WC60                       17.7588               125.50
Vidur                                              Luthra                                             Recruiter                                          17.7588               125.50
Stuart                                             Macrae                                             Janitor                                            17.7588               125.50
Pete                                               Male                                               Production Technician - WC50                       17.7588               125.50
Gabe                                               Mares                                              Production Technician - WC40                       17.7588               125.50
Diane                                              Margheim                                           Research and Development Engineer                  17.7588               125.50
Benjamin                                           Martin                                             Production Technician - WC30                       17.7588               125.50
Benjamin                                           Martin                                             Production Technician - WC30                       17.7588               125.50
Benjamin                                           Martin                                             Production Technician - WC30                       17.7588               125.50
Mindy                                              Martin                                             Benefits Specialist                                17.7588               125.50
Frank                                              Martinez                                           Production Technician - WC40                       17.7588               125.50
Steve                                              Masters                                            Production Technician - WC60                       17.7588               125.50
Gigi                                               Matthew                                            Research and Development Engineer                  17.7588               125.50
Taylor                                             Maxwell                                            Production Supervisor - WC50                       17.7588               125.50
Mark                                               McArthur                                           Production Technician - WC60                       17.7588               125.50
Katie                                              McAskill-White                                     Production Supervisor - WC20                       17.7588               125.50
Alejandro                                          McGuel                                             Production Technician - WC40                       17.7588               125.50
Yvonne                                             McKay                                              Production Technician - WC45                       17.7588               125.50
Linda                                              Meisner                                            Buyer                                              17.7588               125.50
Tete                                               Mensa-Annan                                        Sales Representative                               17.7588               125.50
Susan                                              Metters                                            Production Technician - WC30                       17.7588               125.50
Ramesh                                             Meyyappan                                          Application Specialist                             17.7588               125.50
Thomas                                             Michaels                                           Production Technician - WC60                       17.7588               125.50
Jan                                                Miksovsky                                          Production Technician - WC30                       17.7588               125.50
Ben                                                Miller                                             Buyer                                              17.7588               125.50
Dylan                                              Miller                                             Research and Development Manager                   17.7588               125.50
Frank                                              Miller                                             Production Technician - WC50                       17.7588               125.50
Nitin                                              Mirchandani                                        Production Technician - WC20                       17.7588               125.50
Linda                                              Mitchell                                           Sales Representative                               17.7588               125.50
Shammi                                             Mohamed                                            Production Technician - WC40                       17.7588               125.50
Suchitra                                           Mohan                                              Production Technician - WC60                       17.7588               125.50
Barbara                                            Moreland                                           Accountant                                         17.7588               125.50
Linda                                              Moschell                                           Production Technician - WC50                       17.7588               125.50
Zheng                                              Mu                                                 Production Supervisor - WC10                       17.7588               125.50
Stuart                                             Munson                                             Production Technician - WC45                       17.7588               125.50
Ken                                                Myer                                               Production Technician - WC40                       17.7588               125.50
Paula                                              Nartker                                            Production Technician - WC40                       17.7588               125.50
Lorraine                                           Nay                                                Production Technician - WC40                       17.7588               125.50
Alex                                               Nayberg                                            Production Technician - WC45                       17.7588               125.50
Merav                                              Netz                                               Production Technician - WC30                       17.7588               125.50
Belinda                                            Newman                                             Production Technician - WC45                       17.7588               125.50
Chad                                               Niswonger                                          Production Technician - WC50                       17.7588               125.50
Laura                                              Norman                                             Chief Financial Officer                            17.7588               125.50
Laura                                              Norman                                             Chief Financial Officer                            17.7588               125.50
Laura                                              Norman                                             Chief Financial Officer                            17.7588               125.50
Chris                                              Norred                                             Control Specialist                                 17.7588               125.50
Fred                                               Northup                                            Production Technician - WC40                       17.7588               125.50
Tawana                                             Nusbaum                                            Production Technician - WC40                       17.7588               125.50
Fukiko                                             Ogisu                                              Buyer                                              17.7588               125.50
Chris                                              Okelberry                                          Production Technician - WC60                       17.7588               125.50
David                                              Ortiz                                              Production Technician - WC60                       17.7588               125.50
Michiko                                            Osada                                              Production Technician - WC30                       17.7588               125.50
Jae                                                Pak                                                Sales Representative                               17.7588               125.50
Rajesh                                             Patel                                              Production Technician - WC40                       17.7588               125.50
Michael                                            Patten                                             Production Technician - WC50                       17.7588               125.50
Frank                                              Pellow                                             Buyer                                              17.7588               125.50
Lori                                               Penor                                              Janitor                                            17.7588               125.50
Lionel                                             Penuchot                                           Production Technician - WC45                       17.7588               125.50
Cristian                                           Petculescu                                         Production Supervisor - WC10                       17.7588               125.50
Carol                                              Philips                                            Production Technician - WC30                       17.7588               125.50
Deborah                                            Poe                                                Accounts Receivable Specialist                     17.7588               125.50
Carole                                             Poland                                             Production Technician - WC30                       17.7588               125.50
Houman                                             Pournasseh                                         Production Technician - WC50                       17.7588               125.50
Chris                                              Preston                                            Production Technician - WC45                       17.7588               125.50
Michael                                            Raheem                                             Research and Development Manager                   17.7588               125.50
Kim                                                Ralls                                              Stocker                                            17.7588               125.50
Cynthia                                            Randall                                            Production Supervisor - WC30                       17.7588               125.50
Linda                                              Randall                                            Production Technician - WC20                       17.7588               125.50
Arvind                                             Rao                                                Buyer                                              17.7588               125.50
Simon                                              Rapier                                             Production Technician - WC60                       17.7588               125.50
Michael                                            Ray                                                Production Supervisor - WC30                       17.7588               125.50
Sandra                                             Reátegui Alayo                                     Production Technician - WC30                       17.7588               125.50
Randy                                              Reeves                                             Production Technician - WC60                       17.7588               125.50
Tsvi                                               Reiter                                             Sales Representative                               17.7588               125.50
Bjorn                                              Rettig                                             Production Technician - WC30                       17.7588               125.50
Jack                                               Richins                                            Production Supervisor - WC30                       17.7588               125.50
Michael                                            Rothkugel                                          Production Technician - WC40                       17.7588               125.50
Robert                                             Rounthwaite                                        Production Technician - WC45                       17.7588               125.50
Andy                                               Ruth                                               Production Technician - WC30                       17.7588               125.50
Lane                                               Sacksteder                                         Production Technician - WC20                       17.7588               125.50
Sharon                                             Salavaria                                          Design Engineer                                    17.7588               125.50
Ivo                                                Salmre                                             Production Technician - WC20                       17.7588               125.50
Raymond                                            Sam                                                Production Technician - WC20                       17.7588               125.50
Mandar                                             Samant                                             Production Technician - WC50                       17.7588               125.50
Prasanna                                           Samarawickrama                                     Production Technician - WC20                       17.7588               125.50
Ken                                                Sánchez                                            Chief Executive Officer                            17.7588               125.50
Mikael                                             Sandberg                                           Buyer                                              17.7588               125.50
José                                               Saraiva                                            Sales Representative                               17.7588               125.50
Jim                                                Scardelis                                          Production Technician - WC50                       17.7588               125.50
Mike                                               Seamans                                            Accountant                                         17.7588               125.50
Steven                                             Selikoff                                           Production Technician - WC30                       17.7588               125.50
Rostislav                                          Shabalin                                           Production Technician - WC30                       17.7588               125.50
Ashvini                                            Sharma                                             Network Administrator                              17.7588               125.50
Janet                                              Sheperdigian                                       Accounts Payable Specialist                        17.7588               125.50
Margie                                             Shoop                                              Production Technician - WC60                       17.7588               125.50
Britta                                             Simon                                              Production Technician - WC60                       17.7588               125.50
Paul                                               Singh                                              Production Technician - WC20                       17.7588               125.50
Denise                                             Smith                                              Production Technician - WC50                       17.7588               125.50
Samantha                                           Smith                                              Production Technician - WC20                       17.7588               125.50
Lolan                                              Song                                               Production Technician - WC50                       17.7588               125.50
Anibal                                             Sousa                                              Production Technician - WC20                       17.7588               125.50
Candy                                              Spoon                                              Accounts Receivable Specialist                     17.7588               125.50
Betsy                                              Stadick                                            Production Technician - WC10                       17.7588               125.50
Annik                                              Stahl                                              Production Technician - WC60                       17.7588               125.50
Laura                                              Steele                                             Production Technician - WC45                       17.7588               125.50
Min                                                Su                                                 Production Technician - WC20                       17.7588               125.50
Michael                                            Sullivan                                           Senior Design Engineer                             17.7588               125.50
Krishna                                            Sunkammurali                                       Production Technician - WC20                       17.7588               125.50
Roberto                                            Tamburello                                         Engineering Manager                                17.7588               125.50
Sameer                                             Tejani                                             Production Technician - WC50                       17.7588               125.50
Diane                                              Tibbott                                            Production Technician - WC50                       17.7588               125.50
Danielle                                           Tiedt                                              Production Technician - WC10                       17.7588               125.50
Hung-Fu                                            Ting                                               Production Technician - WC20                       17.7588               125.50
Dragan                                             Tomic                                              Accounts Payable Specialist                        17.7588               125.50
Jean                                               Trenary                                            Information Services Manager                       17.7588               125.50
Lynn                                               Tsoflias                                           Sales Representative                               17.7588               125.50
Olinda                                             Turner                                             Production Technician - WC20                       17.7588               125.50
Sairaj                                             Uddin                                              Scheduling Assistant                               17.7588               125.50
Rachel                                             Valdez                                             Sales Representative                               17.7588               125.50
Sylvester                                          Valdez                                             Production Technician - WC20                       17.7588               125.50
Tom                                                Vande Velde                                        Production Technician - WC10                       17.7588               125.50
Michael                                            Vanderhyde                                         Production Technician - WC30                       17.7588               125.50
Garrett                                            Vargas                                             Sales Representative                               17.7588               125.50
Ranjit                                             Varkey Chudukatil                                  Sales Representative                               17.7588               125.50
William                                            Vong                                               Scheduling Assistant                               17.7588               125.50
William                                            Vong                                               Scheduling Assistant                               17.7588               125.50
William                                            Vong                                               Scheduling Assistant                               17.7588               125.50
Rob                                                Walters                                            Senior Tool Designer                               17.7588               125.50
Rob                                                Walters                                            Senior Tool Designer                               17.7588               125.50
Rob                                                Walters                                            Senior Tool Designer                               17.7588               125.50
Bryan                                              Walton                                             Accounts Receivable Specialist                     17.7588               125.50
Jian Shuo                                          Wang                                               Production Technician - WC30                       17.7588               125.50
Jason                                              Watters                                            Production Technician - WC30                       17.7588               125.50
Patrick                                            Wedge                                              Production Technician - WC10                       17.7588               125.50
Brian                                              Welcker                                            Vice President of Sales                            17.7588               125.50
Jill                                               Williams                                           Marketing Specialist                               17.7588               125.50
Dan                                                Wilson                                             Database Administrator                             17.7588               125.50
John                                               Wood                                               Marketing Specialist                               17.7588               125.50
Sheela                                             Word                                               Purchasing Manager                                 17.7588               125.50
Sheela                                             Word                                               Purchasing Manager                                 17.7588               125.50
Sheela                                             Word                                               Purchasing Manager                                 17.7588               125.50
A. Scott                                           Wright                                             Master Scheduler                                   17.7588               125.50
Peng                                               Wu                                                 Quality Assurance Supervisor                       17.7588               125.50
David                                              Yalovsky                                           Production Technician - WC30                       17.7588               125.50
Garrett                                            Young                                              Production Technician - WC30                       17.7588               125.50
Nuan                                               Yu                                                 Production Technician - WC50                       17.7588               125.50
Gary                                               Yukish                                             Production Technician - WC40                       17.7588               125.50
Eugene                                             Zabokritski                                        Production Technician - WC30                       17.7588               125.50
Kimberly                                           Zimmerman                                          Production Technician - WC10                       17.7588               125.50
Michael                                            Zwilling                                           Production Technician - WC60                       17.7588               125.50

(316 rows affected)


Completion time: 2022-09-09T17:17:03.5275242+05:30
